⺕	gri
神台桔	srn toi grt
神台貓屎	srn toi mau si
神嘢	srn je
神奇	srn kei
神奇寶貝	srn kei bou bui
神奈川	srn noi cvn
神奈川縣	srn noi cvn jvn
神奧	srn ou
神女	srn n!i
神女峰	srn n!i fu~
神妙	srn miu
神妙雋美	srn miu z!n mei
神威	srn wri
神婆	srn po
神學	srn hok
神學士	srn hok si
神學家	srn hok ga
神學研究所	srn hok jin gru so
神學院	srn hok jvn
神家園	srn ga jvn
神山	srn san
神岡	srn go~
神岡鄉	srn go~ h@~
神州	srn zru
神工鬼斧	srn gu~ #ri fu
神差鬼使	srn cai #ri si
神廟	srn miu
神往	srn wo~
神心	srn srm
神志	srn zi
神志不清	srn zi brt ci~
神志昏迷	srn zi frn mri
神思	srn si
神思恍惚	srn si fo~ frt
神性	srn si~
神怪	srn #ai
神情	srn ci~
神愛世人	srn oi sri jrn
神態	srn tai
神慰	srn wri
神憎鬼厭	srn zr~ #ri jim
神成為人	srn si~ wri jrn
神戶	srn wu
神戶市	srn wu si
神戸市	srn wu si
神打	srn da
神探	srn tam
神推鬼㧬	srn t!i #ri gu~
神推鬼拱	srn t!i #ri gu~
神明	srn mi~
神智	srn zi
神智不清	srn zi brt ci~
神曲	srn kuk
神木	srn muk
神木縣	srn muk jvn
神枯	srn fu
神格	srn gak
神棍	srn #rn
神槍手	srn c@~ sru
神樓	srn lru
神機妙算	srn gei miu svn
神權	srn kvn
神權政治	srn kvn zi~ zi
神權統治	srn kvn tu~ zi
神殿	srn din
神氣	srn hei
神池	srn ci
神池縣	srn ci jvn
神沙	srn sa
神治	srn zi
神治國	srn zi #ok
神游	srn jru
神漢	srn hon
神父	srn fu
神獸	srn sru
神甫	srn fu
神異	srn ji
神的兒子	srn dik ji zi
神社	srn se
神祇	srn kei
神祕	srn bei
神祕莫測	srn bei mok cak
神祖	srn zou
神神化化	srn srn fa fa
神神地	srn srn dei
神神經經	srn srn gi~ gi~
神祠	srn ci
神福	srn fuk
神秘	srn bei
神秘主義	srn bei zv ji
神秘化	srn bei fa
神童	srn tu~
神筆	srn brt
神級	srn krp
神經	srn gi~
神經中樞	srn gi~ zu~ sv
神經元	srn gi~ jvn
神經元網	srn gi~ jvn mo~
神經原	srn gi~ jvn
神經外科	srn gi~ ~oi fo
神經大條	srn gi~ dai tiu
神經失常	srn gi~ srt s@~
神經學	srn gi~ hok
神經學家	srn gi~ hok ga
神經官能症	srn gi~ gun nr~ zi~
神經性	srn gi~ si~
神經性毒劑	srn gi~ si~ duk zri
神經性視損傷	srn gi~ si~ si svn s@~
神經毒素	srn gi~ duk sou
神經氨酸酶	srn gi~ on svn mui
神經生物學	srn gi~ sr~ mrt hok
神經病	srn gi~ be~
神經病學	srn gi~ be~ hok
神經症	srn gi~ zi~
神經痛	srn gi~ tu~
神經科	srn gi~ fo
神經突	srn gi~ drt
神經管	srn gi~ gun
神經系統	srn gi~ hri tu~
神經索	srn gi~ sok
神經細胞	srn gi~ sri bau
神經網	srn gi~ mo~
神經網絡	srn gi~ mo~ lok
神經網路	srn gi~ mo~ lou
神經纖維	srn gi~ cim wri
神經纖維瘤	srn gi~ cim wri lru
神經膠質	srn gi~ gau zrt
神經膠質細胞	srn gi~ gau zrt sri bau
神經衰弱	srn gi~ s!i j@k
神經質	srn gi~ zrt
神經過敏	srn gi~ #o mrn
神經錯亂	srn gi~ co lvn
神聖	srn si~
神聖不可侵犯	srn si~ brt ho crm fan
神聖羅馬帝國	srn si~ lo ma dri #ok
神聖週	srn si~ zru
神職	srn zik
神職人員	srn zik jrn jvn
神舟	srn zru
神舟號飛船	srn zru hou fei svn
神舟電腦	srn zru din nou
神色	srn sik
神話	srn wa
神話故事	srn wa gu si
神諭	srn jv
神譜	srn pou
神跡	srn zik
神輿	srn jv
神農	srn nu~
神農本草經	srn nu~ bun cou gi~
神農架	srn nu~ ga
神農架地區	srn nu~ ga dei k!i
神農架林區	srn nu~ ga lrm k!i
神農氏	srn nu~ si
神通	srn tu~
神通廣大	srn tu~ #o~ dai
神速	srn cuk
神造論	srn zou l!n
神道	srn dou
神道教	srn dou gau
神采	srn coi
神采奕奕	srn coi jik jik
神采飛揚	srn coi fei j@~
神雕俠侶	srn diu hrp l!i
神靈	srn li~
神韻	srn wrn
神風	srn fu~
神風特攻隊	srn fu~ drk gu~ d!i
神風突擊隊	srn fu~ drt gik d!i
神馬	srn ma
神髓	srn s!i
神體	srn tri
神高神大	srn gou srn dai
神魂	srn wrn
神魂顛倒	srn wrn din dou
神魔小說	srn mo siu svt
神鳥	srn niu
神鵰俠侶	srn diu hrp l!i
神龍汽車	srn lu~ hei ce
神龍見首不見尾	srn lu~ gin sru brt gin mei
神龕	srn hrm
祟	s!i
祠	ci
祠堂	ci to~
祠墓	ci mou
祠廟	ci miu
祥	c@~
祥光	c@~ #o~
祥和	c@~ wo
祥瑞	c@~ s!i
祥雲	c@~ wrn
祥雲縣	c@~ wrn jvn
票	piu
票價	piu ga
票券	piu hvn
票匯	piu wui
票友	piu jru
票友兒	piu jru ji
票尾	piu mei
票房	piu fo~
票據	piu g!i
票據法	piu g!i fat
票數	piu sou
票根	piu grn
票活	piu wut
票站	piu zam
票站調查	piu zam diu ca
票箱	piu s@~
票莊	piu zo~
票證	piu zi~
票販子	piu fan zi
票選	piu svn
票面值	piu min zik
祭	zri
祭典	zri din
祭司	zri si
祭司權術	zri si kvn s!t
祭品	zri brn
祭器	zri hei
祭壇	zri tan
祭奠	zri din
祭孔	zri hu~
祭弔	zri diu
祭拜	zri bai
祭旗	zri kei
祭灶	zri zou
祭物	zri mrt
祭祀	zri zi
祭祖	zri zou
祭禮	zri lri
祭賽	zri coi
祭酒	zri zru
祲	zrm
祿位	luk wri
祿俸	luk fu~
祿勸	luk hvn
祿勸彞族苗族自治縣	luk hvn ji zuk miu zuk zi zi jvn
祿勸縣	luk hvn jvn
祿命	luk mi~
祿星	luk si~
祿秩	luk dit
祿籍	luk zik
祿蠹	luk dou
祿豐	luk fu~
祿豐縣	luk fu~ jvn
祿食	luk sik
祿養	luk j@~
祿餌	luk nei
禁	grm
禁不住	krm brt zv
禁不起	krm brt hei
禁令	grm li~
禁伐	grm frt
禁例	grm lri
禁做	grm zou
禁制	grm zri
禁制令	grm zri li~
禁區	grm k!i
禁受	grm sru
禁品	grm brn
禁地	grm dei
禁夜	grm je
禁忌	grm gei
禁忌語	grm gei jv
禁慾	grm juk
禁慾主義	grm juk zv ji
禁戒	grm gai
禁書	grm sv
禁果	grm #o
禁止	grm zi
禁止令行	grm zi li~ hr~
禁止吸煙	grm zi krp jin
禁止外出	grm zi ~oi c!t
禁止核武器試驗條約	grm zi hrt mou hei si jim tiu j@k
禁止通行	grm zi tu~ hr~
禁止駛入	grm zi sri jrp
禁死	krm sei
禁毒	grm duk
禁漁	grm jv
禁演	grm jin
禁煙	grm jin
禁用	grm ju~
禁睇	krm tri
禁絕	grm zvt
禁臠	grm lvn
禁色	grm sik
禁色	krm sik
禁著	krm z@k
禁藥	grm j@k
禁衛軍	grm wri #rn
禁見	grm gin
禁計	krm gri
禁語	grm jv
禁諗	krm nrm
禁足	grm zuk
禁軍	grm #rn
禁運	grm wrn
禁酒	grm zru
禁酒令	grm zru li~
禁錮	grm gu
禁食	grm sik
禊	hri
禍	wo
禍不單行	wo brt dan hr~
禍不旋踵	wo brt svn zu~
禍亂	wo lvn
禍事	wo si
禍國殃民	wo #ok j@~ mrn
禍害	wo hoi
禍從口出	wo cu~ hru c!t
禍心	wo srm
禍患	wo wan
禍根	wo grn
禍水	wo s!i
禍福	wo fuk
禍福吉凶	wo fuk grt hu~
禍福無常	wo fuk mou s@~
禍福與共	wo fuk jv gu~
禍端	wo dvn
禍胎	wo toi
禍起蕭牆	wo hei siu c@~
禍首	wo sru
禍首罪魁	wo sru z!i fui
福	fuk
福井縣	fuk ze~ jvn
福佬	fuk lou
福克	fuk hrk
福克納	fuk hrk nap
福克蘭群島	fuk hrk lan $rn dou
福分	fuk frn
福利	fuk lei
福利事業	fuk lei si jip
福利政策	fuk lei zi~ cak
福利院	fuk lei jvn
福地	fuk dei
福報	fuk bou
福士	fuk si
福士汽車	fuk si hei ce
福壽	fuk sru
福壽綿長	fuk sru min c@~
福壽膏	fuk sru gou
福壽螺	fuk sru lo
福壽雙全	fuk sru s@~ cvn
福壽魚	fuk sru jv
福如東海	fuk jv du~ hoi
福委會	fuk wri wui
福娃	fuk wa
福安	fuk on
福安市	fuk on si
福山	fuk san
福山區	fuk san k!i
福岡	fuk go~
福岡縣	fuk go~ jvn
福島	fuk dou
福島市	fuk dou si
福島縣	fuk dou jvn
福州	fuk zru
福州市	fuk zru si
福州話	fuk zru wa
福布斯	fuk bou si
福建	fuk gin
福建人	fuk gin jrn
福建炒飯	fuk gin cau fan
福建省	fuk gin sa~
福建話	fuk gin wa
福心	fuk srm
福摩薩	fuk mo sat
福斯塔夫	fuk si tap fu
福斯特	fuk si drk
福星	fuk si~
福星高照	fuk si~ gou ziu
福晉	fuk z!n
福有攸歸	fuk jru jru #ri
福林	fuk lrm
福柯	fuk o
福氣	fuk hei
福泉	fuk cvn
福泉市	fuk cvn si
福海	fuk hoi
福海縣	fuk hoi jvn
福清	fuk ci~
福清市	fuk ci~ si
福澤	fuk zak
福澤諭吉	fuk zak jv grt
福無雙至	fuk mou s@~ zi 
福煦	fuk h!i
福爾	fuk ji
福爾摩斯	fuk ji mo si
福爾摩沙	fuk ji mo sa
福特	fuk drk
福特汽車	fuk drk hei ce
福田	fuk tin
福田區	fuk tin k!i
福田站	fuk tin zam
福相	fuk s@~
福祉	fuk zi
福祿壽	fuk luk sru
福祿貝爾	fuk luk bui ji
福維克	fuk wri hrk
福至心靈	fuk zi srm li~
福興	fuk hi~
福興鄉	fuk hi~ h@~
福袋	fuk doi
福貢	fuk gu~
福貢縣	fuk gu~ jvn
福音	fuk jrm
福音書	fuk jrm sv
福頭	fuk tru
福馬林	fuk ma lrm
福鼎	fuk di~
福鼎市	fuk di~ si
禕	ji
禕隋	ji c!i
禚	z@k
禛	zrn
禡	ma
禤	hvn
禦	jv
禦侮	jv mou
禦夫座	jv fu zo
禦寒	jv hon
禦敵	jv dik
禦用大律師	jv ju~ dai l!t si
禧	hei
禧瑪諾	hei ma nok
禪	sim
禪位	sin wri
禪城	sim si~
禪城區	sim si~ k!i
禪堂	sim to~
禪學	sim hok
禪宗	sim zu~
禪定	sim di~
禪寺	sim zi
禪師	sim si
禪心	sim srm
禪房	sim fo~
禪杖	sim z@~
禪林	sim lrm
禪機	sim gei
禪讓	sin j@~
禪門五宗	sim mun ~ zu~
禪院	sim jvn
禮	lri
禮俗	lri zuk
禮儀	lri ji
禮制	lri zri
禮券	lri gvn
禮品	lri brn
禮器	lri hei
禮堂	lri to~
禮壞樂崩	lri wai ~ok br~
禮多人不怪	lri do jrn brt #ai
禮尚往來	lri s@~ wo~ loi
禮崩樂壞	lri br~ ~ok wai
禮帽	lri mou
禮廢樂崩	lri fri ~ok br~
禮拜	lri bai
禮拜一	lri bai jrt
禮拜三	lri bai sam
禮拜二	lri bai ji
禮拜五	lri bai ~
禮拜儀式	lri bai ji sik
禮拜六	lri bai luk
禮拜四	lri bai sei
禮拜堂	lri bai to~
禮拜天	lri bai tin
禮拜尾	lri bai mei
禮拜日	lri bai jrt
禮教	lri gau
禮教吃人	lri gau hek jrn
禮數	lri sou
禮服	lri fuk
禮樂	lri lok
禮樂崩壞	lri ~ok br~ wai
禮泉	lri cvn
禮泉縣	lri cvn jvn
禮法	lri fat
禮炮	lri pau
禮炮號	lri pau hou
禮物	lri mrt
禮節	lri zit
禮經	lri gi~
禮縣	lri jvn
禮義	lri ji
禮義廉恥	lri ji lim ci
禮聘	lri pi~
禮花	lri fa
禮衣邊	lri ji bin
禮記	lri gei
禮讓	lri j@~
禮讚	lri zan
禮貌	lri mau
禮賓	lri brn
禮賓司	lri brn si
禮賓府	lri brn fu
禮賢下士	lri jin ha si
禮輕人意重	lri hi~ jrn ji zu~
禮輕人意重千里送鵝毛	lri hi~ jrn ji zu~ cin lei su~ ~o mou
禮輕情意重	lri hi~ ci~ ji zu~
禮遇	lri jv
禮部	lri bou
禮部尚書	lri bou s@~ sv
禮金	lri grm
禮餅	lri be~
禰	nei
禱	tou
禱告	tou gou
禱念	tou nim
禱文	tou mrn
禱祝	tou zuk
禱詞	tou ci
禳解	j@~ gai
禹城	jv si~
禹城市	jv si~ si
禹州	jv zru
禹州市	jv zru si
禹會	jv wui
禹會區	jv wui k!i
禹王台	jv wo~ toi
禹王台區	jv wo~ toi k!i
禽	krm
禽流感	krm lru grm
禽獸	krm sru
禽獸不如	krm sru brt jv
禽獸行為	krm sru hr~ wri
禽畜	krm cuk
禽蛋	krm dan
禽類	krm l!i
禽鳥	krm niu
禽龍	krm lu~
禾	wo
禾叉髀	wo ca bei
禾場	wo c@~
禾塘	wo to~
禾木科	wo muk fo
禾本科	wo bun fo
禾稈	wo gon
禾稈冚珍珠	wo gon krm zrn zv
禾稈草	wo gon cou
禾稻	wo dou
禾穀	wo guk
禾花雀	wo fa z@k
禾苗	wo miu
禾草	wo cou
禾蟲	wo cu~
禾造	wo zou
禾鐮	wo lim
禾雀	wo z@k
禿	tuk
禿子	tuk zi
禿寶蓋	tuk bou goi
禿瓢	tuk piu
禿瘡	tuk co~
禿發	tuk fat
禿筆	tuk brt
禿頂	tuk de~
禿頭	tuk tru
禿驢	tuk l!i
禿鷲	tuk zru
禿鷹	tuk ji~
禿鸛	tuk gun
禿鼻烏鴉	tuk bei wu a
秀	sru
秀外惠中	sru ~oi wri zu~
秀外慧中	sru ~oi wri zu~
秀山	sru san
秀山土家族苗族自治縣	sru san tou ga zuk miu zuk zi zi jvn
秀山縣	sru san jvn
秀峰	sru fu~
秀峰區	sru fu~ k!i
秀嶼	sru jv
秀嶼區	sru jv k!i
秀才	sru coi
秀才不出門全知天下事	sru coi brt c!t mun cvn zi tin ha si
秀才不出門能知天下事	sru coi brt c!t mun nr~ zi tin ha si
秀林	sru lrm
秀林鄉	sru lrm h@~
秀氣	sru hei
秀水	sru s!i
秀水鄉	sru s!i h@~
秀洲	sru zru
秀洲區	sru zru k!i
秀美	sru mei
秀而不實	sru ji brt srt
秀色可餐	sru sik ho can
秀色孫鰈	sru sik svn dip
秀英	sru ji~
秀英區	sru ji~ k!i
秀逗	sru dru
秀雅	sru ~a
秀髮	sru fat
秀髮垂肩	sru fat s!i gin
秀麗	sru lri
私	si
私下	si ha
私了	si liu
私事	si si
私交	si gau
私人	si jrn
私人鑰匙	si jrn j@k si
私仇	si sru
私企	si kei
私伙	si fo
私信	si s!n
私偏	si pin
私利	si lei
私募	si mou
私募基金	si mou gei grm
私吞	si trn
私售	si sru
私囊	si no~
私塾	si suk
私奔	si brn
私定終身	si di~ zu~ srn
私家	si ga
私家偵探	si ga zi~ tam
私家車	si ga ce
私家醫生	si ga ji sr~
私家醫院	si ga ji jvn
私密	si mrt
私己	si gei
私己錢	si gei cin
私底下	si dri ha
私心	si srm
私念	si nim
私情	si ci~
私憤	si frn
私房	si fo~
私房錢	si fo~ cin
私有	si jru
私有制	si jru zri
私有化	si jru fa
私有財產	si jru coi can
私校	si hau
私欲	si juk
私法	si fat
私營	si ji~
私營企業	si ji~ kei jip
私生子	si sr~ zi
私生子女	si sr~ zi n!i
私生活	si sr~ wut
私產	si can
私秘	si bei
私竇	si dru
私立	si lap
私立學校	si lap hok hau
私自	si zi
私藏	si co~
私處	si cv
私行	si hr~
私訪	si fo~
私語	si jv
私謀叛國	si mru bun #ok
私貨	si fo
私賣	si mai
私辦	si ban
私通	si tu~
私運	si wrn
私邸	si dri
私釀	si j@~
私鐘	si zu~
私鐘妹	si zu~ mui
私隱	si jrn
秉	bi~
秉公	bi~ gu~
秉公辦理	bi~ gu~ ban lei
秉性	bi~ si~
秉承	bi~ si~
秉持	bi~ ci
秉燭	bi~ zuk
秉筆	bi~ brt
秉筆直書	bi~ brt zik sv
秋	cru
秋令	cru li~
秋刀魚	cru dou jv
秋分	cru frn
秋分點	cru frn dim
秋天	cru tin
秋季	cru #ri
秋審	cru srm
秋征	cru zi~
秋後算帳	cru hru svn z@~
秋後算賬	cru hru svn z@~
秋意	cru ji
秋播	cru bo
秋收	cru sru
秋收起義	cru sru hei ji
秋景	cru gi~
秋楓	cru fu~
秋毫	cru hou
秋毫無犯	cru hou mou fan
秋水	cru s!i
秋水仙	cru s!i sin
秋水仙素	cru s!i sin sou
秋水伊人	cru s!i ji jrn
秋汛	cru s!n
秋波	cru bo
秋海棠	cru hoi to~
秋海棠花	cru hoi to~ fa
秋涼	cru l@~
秋灌	cru gun
秋熟	cru suk
秋燥	cru cou
秋獮	cru sin
秋瑾	cru grn
秋田	cru tin
秋田縣	cru tin jvn
秋糧	cru l@~
秋老虎	cru lou fu
秋耕	cru ga~
秋色	cru sik
秋茄	cru ke
秋荼密網	cru tou mrt mo~
秋菊傲霜	cru guk ~ou s@~
秋菜	cru coi
秋葉	cru jip
秋葉原	cru jip jvn
秋葵	cru $ri
秋葵莢	cru $ri gap
秋蟬	cru sim
秋衣	cru ji
秋褲	cru fu
秋試	cru si
秋遊	cru jru
秋闈	cru wri
秋雨	cru jv
秋霜	cru s@~
秋風	cru fu~
秋風掃落葉	cru fu~ sou lok jip
秋風送爽	cru fu~ su~ so~
秋風過耳	cru fu~ #o ji
秋風颯颯	cru fu~ sap sap
秋高氣爽	cru gou hei so~
科	fo
科什圖尼察	fo srp tou nei cat
科企	fo kei
科佩爾	fo pui ji
科倫坡	fo l!n bo
科克	fo hrk
科利奧蘭納斯	fo lei ou lan nap si
科卿	fo hi~
科右中旗	fo jru zu~ kei
科右前旗	fo jru cin kei
科名	fo mi~
科大	fo dai
科奈	fo noi
科威特	fo wri drk
科學	fo hok
科學主義	fo hok zv ji
科學史	fo hok si
科學執政	fo hok zrp zi~
科學家	fo hok ga
科學實驗	fo hok srt jim
科學幻想	fo hok wan s@~
科學怪人	fo hok #ai jrn
科學技術	fo hok gei s!t
科學技術是第一生產力	fo hok gei s!t si dri jrt sr~ can lik
科學技術現代化	fo hok gei s!t jin doi fa
科學普及	fo hok pou krp
科學界	fo hok gai
科學發展觀	fo hok fat zin gun
科學知識	fo hok zi sik
科學研究	fo hok jin gru
科學種田	fo hok zu~ tin
科學管理	fo hok gun lei
科學編輯	fo hok pin crp
科學育兒	fo hok juk ji
科學院	fo hok jvn
科室	fo srt
科尼賽克	fo nei coi hrk
科布多	fo bou do
科幻	fo wan
科幻小說	fo wan siu svt
科幻片	fo wan pin
科幻電影	fo wan din ji~
科恩	fo jrn
科托努	fo tok nou
科技	fo gei
科技人員	fo gei jrn jvn
科技大學	fo gei dai hok
科技工作者	fo gei gu~ zok ze
科技市場	fo gei si c@~
科技成果	fo gei si~ #o
科技攻關	fo gei gu~ #an
科技興農	fo gei hi~ nu~
科技驚悚	fo gei gi~ su~
科技驚悚小說	fo gei gi~ su~ siu svt
科技體制	fo gei tri zri
科摩洛	fo mo lok
科摩羅	fo mo lo
科教	fo gau
科教片	fo gau pin
科教興國	fo gau hi~ #ok
科文	fo mrn
科斗	fo dru
科普	fo pou
科普特人	fo pou drk jrn
科普特語	fo pou drk jv
科林	fo lrm
科林斯	fo lrm si
科比	fo bei
科澤科德	fo zak fo drk
科爾	fo ji
科爾多瓦	fo ji do ~a
科爾沁	fo ji srm
科爾沁區	fo ji srm k!i
科爾沁右翼中旗	fo ji srm jru jik zu~ kei
科爾沁右翼前旗	fo ji srm jru jik cin kei
科爾沁左翼中	fo ji srm zo jik zu~
科爾沁左翼中旗	fo ji srm zo jik zu~ kei
科爾沁左翼後	fo ji srm zo jik hru
科爾沁左翼後旗	fo ji srm zo jik hru kei
科特布斯	fo drk bou si
科特迪瓦	fo drk dik ~a
科特迪瓦共和國	fo drk dik ~a gu~ wo #ok
科甲	fo gap
科目	fo muk
科研	fo jin
科研人員	fo jin jrn jvn
科研小組	fo jin siu zou
科研樣機	fo jin j@~ gei
科系	fo hri
科納克里	fo nap hrk lei
科級	fo krp
科索沃	fo sok juk
科羅娜	fo lo na
科羅恩病	fo lo jrn be~
科羅拉多	fo lo lai do
科羅拉多大峽谷	fo lo lai do dai hap guk
科羅拉多州	fo lo lai do zru
科羅納	fo lo nap
科考	fo hau
科考隊	fo hau d!i
科舉	fo g!i
科舉制	fo g!i zri
科舉考試	fo g!i hau si
科茨沃爾德	fo ci juk ji drk
科莫多龍	fo mok do lu~
科蘇	fo sou
科西嘉島	fo sri ga dou
科迪勒拉	fo dik lrk lai
科迪勒拉山系	fo dik lrk lai san hri
科錢	fo cin
科長	fo z@~
科隆	fo lu~
科頭跣足	fo tru sin zuk
科騷	fo sou
秒	miu
秒差距	miu ca k!i
秒殺	miu sat
秒表	miu biu
秒針	miu zrm
秒鐘	miu zu~
秕	bei
秕子	bei zi
秕糠	bei ho~
秘	bei
秘密	bei mrt
秘密會社	bei mrt wui se
秘密活動	bei mrt wut du~
秘密警察	bei mrt gi~ cat
秘技	bei gei
秘撈	bei lou
秘書	bei sv
秘書處	bei sv cv
秘書長	bei sv z@~
秘笈	bei krp
秘籍	bei zik
秘訣	bei kvt
秘辛	bei srn
秘魯	bei lou
秘魯苦蘵	bei lou fu zik
租	zou
租佃	zou din
租借	zou ze
租借地	zou ze dei
租債	zou zai
租價	zou ga
租地	zou dei
租地人投標票權	zou dei jrn tru biu piu kvn
租子	zou zi
租戶	zou wu
租房	zou fo~
租用	zou ju~
租界	zou gai
租稅	zou s!i
租約	zou j@k
租船	zou svn
租讓	zou j@~
租賃	zou jrm
租金	zou grm
租錢	zou cin
秤	ci~
秤坨	ci~ to
秤桿	ci~ gon
秤槃	ci~ pun
秤砣	ci~ to
秤砣雖小壓千斤	ci~ to s!i siu at cin grn
秤鉤	ci~ ~ru
秤錘	ci~ c!i
秤頭	ci~ tru
秦	c!n
秦二世	c!n ji sri
秦代	c!n doi
秦吉了	c!n grt liu
秦國	c!n #ok
秦始皇	c!n ci wo~
秦始皇帝	c!n ci wo~ dri
秦始皇帝陵	c!n ci wo~ dri li~
秦始皇陵	c!n ci wo~ li~
秦孝公	c!n hau gu~
秦安	c!n on
秦安縣	c!n on jvn
秦嶺	c!n li~
秦嶺山脈	c!n li~ san mrk
秦嶺蜀棧道	c!n li~ suk zan dou
秦州	c!n zru
秦州區	c!n zru k!i
秦惠文王	c!n wri mrn wo~
秦朝	c!n ciu
秦末	c!n mut
秦椒	c!n ziu
秦檜	c!n kui
秦淮	c!n wai
秦淮區	c!n wai k!i
秦漢	c!n hon
秦火	c!n fo
秦牧	c!n muk
秦皇島	c!n wo~ dou
秦皇島市	c!n wo~ dou si
秦穆公	c!n muk gu~
秦篆	c!n svn
秦腔	c!n ho~
秦艽	c!n gru
秦越人	c!n jvt jrn
秦軍	c!n #rn
秦都	c!n dou
秦都區	c!n dou k!i
秦鏡高懸	c!n ge~ gou jvn
秦陵	c!n li~
秦韜玉	c!n tou juk
秧	j@~
秧子	j@~ zi
秧歌	j@~ go
秧歌劇	j@~ go kek
秧田	j@~ tin
秧苗	j@~ miu
秩	dit
秩序	dit z!i
秩序井然	dit z!i ze~ jin
秩序美	dit z!i mei
秩然不紊	dit jin brt mrn
秩祿	dit luk
秫米	s!t mri
秭	zi
秭歸	zi #ri
秭歸縣	zi #ri jvn
秸	gai
秸稈	gai gon
移	ji
移交	ji gau
移位	ji wri
移借	ji ze
移動	ji du~
移動平均線	ji du~ pi~ #rn sin
移動平均線指標	ji du~ pi~ #rn sin zi biu
移動式	ji du~ sik
移動式電話	ji du~ sik din wa
移動性	ji du~ si~
移動設備	ji du~ cit bei
移動通信網絡	ji du~ tu~ s!n mo~ lok
移動電話	ji du~ din wa
移去	ji h!i
移居	ji g!i
移山倒海	ji san dou hoi
移山志	ji san zi
移師	ji si
移情	ji ci~
移情別戀	ji ci~ bit lvn
移時	ji si
移栽	ji zoi
移植	ji zik
移植性	ji zik si~
移植手術	ji zik sru s!t
移殖	ji zik
移民	ji mrn
移民局	ji mrn guk
移民工	ji mrn gu~
移民者	ji mrn ze
移液器	ji jik hei
移用	ji ju~
移磡就船	ji hrm zru svn
移花接木	ji fa zip muk
移送	ji su~
移送法辦	ji su~ fat ban
移開	ji hoi
移除	ji c!i
移風易俗	ji fu~ jik zuk
稀	hei
稀世	hei sri
稀冧冧	hei lrm lrm
稀土	hei tou
稀土元素	hei tou jvn sou
稀土金屬	hei tou grm suk
稀奇	hei kei
稀奇古怪	hei kei gu #ai
稀客	hei hak
稀少	hei siu
稀巴爛	hei ba lan
稀有	hei jru
稀有元素	hei jru jvn sou
稀有氣體	hei jru hei tri
稀有金屬	hei jru grm suk
稀爛	hei lan
稀疏	hei so
稀稀拉拉	hei hei lai lai
稀粥	hei zuk
稀缺	hei kvt
稀罕	hei hon
稀薄	hei bok
稀裏糊塗	hei l!i wu tou
稀裡嘩啦	hei l!i wa la
稀釋	hei sik
稀里光當	hei lei #o~ do~
稀飯	hei fan
稀鬆	hei su~
稀鬆骨質	hei su~ #rt zrt
稂	lo~
稅	s!i
稅制	s!i zri
稅則	s!i zrk
稅前	s!i cin
稅務	s!i mou
稅務局	s!i mou guk
稅基	s!i gei
稅官	s!i gun
稅後	s!i hru
稅捐稽征處	s!i gvn kri zi~ cv
稅收	s!i sru
稅款	s!i fun
稅法	s!i fat
稅率	s!i l!t
稅關	s!i #an
稈	gon
程	ci~
程子	ci~ zi
程序	ci~ z!i
程序員	ci~ z!i jvn
程序庫	ci~ z!i fu
程序性	ci~ z!i si~
程序控制	ci~ z!i hu~ zri
程序法	ci~ z!i fat
程序設計	ci~ z!i cit gri
程度	ci~ dou
程式	ci~ sik
程式管理員	ci~ sik gun lei jvn
程式語言	ci~ sik jv jin
程控	ci~ hu~
程控交換機	ci~ hu~ gau wun gei
程控電話	ci~ hu~ din wa
程昱	ci~ juk
程海湖	ci~ hoi wu
程硯秋	ci~ jin cru
程翔	ci~ c@~
程邈	ci~ mok
程門立雪	ci~ mun lap svt
程頤	ci~ ji
